Hazard Group (EN),Hazard Group (FR),Hazard Group (DE),Sub-Hazard (EN),Sub-Hazard (FR),Sub-Hazard (DE)
Biological Hazards,Dangers biologiques,Biologische Risiken,Animal or insect bites/stings,Morsures/piqûres d'animaux ou d'insectes,Tier- oder Insektenbisse/Stiche
Biological Hazards,Dangers biologiques,Biologische Risiken,Animal waste,Déjections animales,Tierabfall
Biological Hazards,Dangers biologiques,Biologische Risiken,Bloodborne pathogens,Pathogènes transmissibles par le sang,Blutübertragbare Erreger
Biological Hazards,Dangers biologiques,Biologische Risiken,Contaminated waste or biological material,Déchets ou matières biologiques contaminés,Kontaminierter Abfall oder biologisches Material
Biological Hazards,Dangers biologiques,Biologische Risiken,Food hygiene,Hygiène alimentaire,Lebensmittelhygiene
Biological Hazards,Dangers biologiques,Biologische Risiken,Handling human or animal bodily fluids,Manipulation de fluides corporels humains ou animaux,Umgang mit menschlichen oder tierischen Körperflüssigkeiten
Biological Hazards,Dangers biologiques,Biologische Risiken,Hazardous vegetation,Végétation dangereuse,Gefährliche Vegetation
Biological Hazards,Dangers biologiques,Biologische Risiken,Legionella (specific bacteria),Legionella (bactérie spécifique),Legionella (spezifisches Bakterium)
Biological Hazards,Dangers biologiques,Biologische Risiken,Molds or allergens,Moisissures ou allergènes,Schimmel oder Allergene
Biological Hazards,Dangers biologiques,Biologische Risiken,Potability of water,Potabilité de l'eau,Trinkbarkeit von Wasser
Biological Hazards,Dangers biologiques,Biologische Risiken,"Viruses, bacteria, fungi","Virus, bactéries, champignons","Viren, Bakterien, Pilze"
Chemical Hazards,Dangers chimiques,Chemische Risiken,Acute toxicity materials,Produits à toxicité aiguë,Akut toxische Materialien
Chemical Hazards,Dangers chimiques,Chemische Risiken,Asbestos,Amiante,Asbest
Chemical Hazards,Dangers chimiques,Chemische Risiken,"Carcinogens, mutagens, reprotoxic (CMRs) materials","Cancérogènes, mutagènes, toxiques pour la reproduction (CMR)","Karzinogene, mutagene, reprotoxische (CMR) Materialien"
Chemical Hazards,Dangers chimiques,Chemische Risiken,Chemical spills or leaks,Déversements ou fuites de produits chimiques,Chemische Verschüttungen oder Lecks
Chemical Hazards,Dangers chimiques,Chemische Risiken,Chemicals [Generic],Produits chimiques [Générique],Chemikalien [Generisch]
Chemical Hazards,Dangers chimiques,Chemische Risiken,Corrosive materials,Produits corrosifs,Korrosive Materialien
Chemical Hazards,Dangers chimiques,Chemische Risiken,Crystalline silica,Silice cristalline,Kristallines Siliziumdioxid
Chemical Hazards,Dangers chimiques,Chemische Risiken,Endocrine disrupters,Perturbateurs endocriniens,Endokrine Disruptoren
Chemical Hazards,Dangers chimiques,Chemische Risiken,Explosive materials,Matières explosives,Explosive Materialien
Chemical Hazards,Dangers chimiques,Chemische Risiken,Fibers other than asbestos,Fibres autres que l'amiante,Fasern außer Asbest
Chemical Hazards,Dangers chimiques,Chemische Risiken,Flammable materials,Matières inflammables,Entzündliche Materialien
Chemical Hazards,Dangers chimiques,Chemische Risiken,Gas under pressure,Gaz sous pression,Gas unter Druck
Chemical Hazards,Dangers chimiques,Chemische Risiken,"Health hazard, sensitizers, allergens materials","Substances sensibilisantes, allergènes, irritantes","Gesundheitsgefahr, Sensibilisatoren, Allergene Materialien"
Chemical Hazards,Dangers chimiques,Chemische Risiken,Improper labeling or storage,Mauvais étiquetage ou stockage,Falsche Kennzeichnung oder Lagerung
Chemical Hazards,Dangers chimiques,Chemische Risiken,Incompatible chemical reactions,Réactions chimiques incompatibles,Inkompatible chemische Reaktionen
Chemical Hazards,Dangers chimiques,Chemische Risiken,Lead-containing material,Matières contenant du plomb,Blei-haltiges Material
Chemical Hazards,Dangers chimiques,Chemische Risiken,Nanomaterials,Nanomatériaux,Nanomaterialien
Chemical Hazards,Dangers chimiques,Chemische Risiken,Oil,Huile,Öl
Chemical Hazards,Dangers chimiques,Chemische Risiken,Organic peroxides,Peroxydes organiques,Organische Peroxide
Chemical Hazards,Dangers chimiques,Chemische Risiken,Oxidising materials,Agents oxydants,Oxidierende Materialien
Chemical Hazards,Dangers chimiques,Chemische Risiken,"Particulate material (dust, smoke, fog, aerosol)","Particules (poussières, fumées, brouillards, aérosols)","Partikelmaterial (Staub, Rauch, Nebel, Aerosol)"
Chemical Hazards,Dangers chimiques,Chemische Risiken,Shock / vibration sensitive substances,Substances sensibles aux chocs / vibrations,Stoß / vibrationsempfindliche Substanzen
Chemical Hazards,Dangers chimiques,Chemische Risiken,Water reactive substances,Substances réactives à l'eau,Wasserreaktive Substanzen
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Carrying,Port de charges,Tragen
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Computer workstation / Screen,Poste de travail informatique / écran,Computerarbeitsplatz / Bildschirm
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Force,Efforts physiques,Kraft
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Ill-fitting gloves,Gants inadaptés,Schlecht passende Handschuhe
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Inadequate tool or workstation design,Outil ou conception du poste de travail inadéquat,Unzureichende Werkzeug- oder Arbeitsplatzgestaltung
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Lifting/Lowering,Levage/Abaissement,Heben/Senken
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Poor ergonomics [Generic],Ergonomie [Générique],Schlechte Ergonomie [Generisch]
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Postures (Hit list),Postures (Hit List),Haltungen (Hit-Liste)
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Pulling,Traction,Ziehen
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Pushing,Poussée,Schieben
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Soft tissue compression,Compression des tissus mous,Weichgewebekompression
Ergonomic Hazards,Dangers ergonomiques,Ergonomische Risiken,Standing or Sitting for long periods,Station debout ou assise prolongée,Langes Stehen oder Sitzen
Fire and Explosion,Feu et explosion,Feuer und Explosion,"Dust explosions (e.g., black, wood, metal dust)","Explosion de poussières (ex. : poussières de noir de carbone, bois, métal)","Staubexplosionen (z.B. Ruß, Holz, Metallstaub)"
Fire and Explosion,Feu et explosion,Feuer und Explosion,Flammable and combustible materials,Matières inflammables et combustibles,Entzündliche und brennbare Materialien
Fire and Explosion,Feu et explosion,Feuer und Explosion,"Ignition sources (open flames, sparks, static)","Sources d'ignition (flammes, étincelles, électricité statique)","Zündquellen (offene Flammen, Funken, statisch)"
Fire and Explosion,Feu et explosion,Feuer und Explosion,Oxygen-enriched environments,Environnement enrichi en oxygène,Sauerstoffangereicherte Umgebungen
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Arc flash,Arc électrique,Lichtbogenblitz
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Compressed air,Air comprimé,Druckluft
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Electricity,Pièces sous tension,Elektrizität
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Electromagnetic fields,Champs électromagnétiques,Elektromagnetische Felder
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Electrostatic,Électrostatique,Elektrostatisch
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Equipment under pressure,Équipement sous pression,Gerät unter Druck
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Exothermic chemical reaction,Réaction chimique exothermique,Exotherme chemische Reaktion
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Gravity,Gravité,Schwerkraft
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Hazardous Energy [Generic],Énergie dangereuse [Générique],Gefährliche Energie [Generisch]
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Hydraulic,Hydraulique,Hydraulik
Hazardous Energy,Dangers liés aux énergies,Gefährliche Energie,Kinetic energy,Énergie cinétique,Kinetische Energie
