Row Type,Current Category,Current Sub-Hazard,Proposed Sub-Hazard (Current),Status,Remarks,Exact Change Required
Category,Biological Hazards,,,Retain,Category label already matches current whitelist.,Retain
Sub-Hazard,Biological Hazards,Animal or insect bites/stings,Animal or insect bites/stings,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Biological Hazards,Animal waste,Animal waste,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Biological Hazards,Bloodborne pathogens,Bloodborne pathogens,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Biological Hazards,Contaminated waste or biological material,Contaminated waste or biological material,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Biological Hazards,Food hygiene,Food hygiene,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Biological Hazards,Handling human or animal bodily fluids,Handling human or animal bodily fluids,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Biological Hazards,Hazardous vegetation,Hazardous vegetation,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Biological Hazards,Legionnella (specific bacteria),Legionella (specific bacteria),Change,Spelling correction to match current whitelist key exactly.,"Replace ""Legionnella (specific bacteria)"" with ""Legionella (specific bacteria)"""
Sub-Hazard,Biological Hazards,Molds or allergens,Molds or allergens,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Biological Hazards,Potability of water,Potability of water,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Biological Hazards,"Viruses, bacteria, fungi","Viruses, bacteria, fungi",Retain,Matches current whitelist exactly.,Retain
Category,Chemical Hazards,,,Retain,Category label already matches current whitelist.,Retain
Sub-Hazard,Chemical Hazards,Acute toxicity materials,Acute toxicity materials,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Asbestos,Asbestos,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,"Carcinogens, mutagens, reprotoxic (CMRs) materials","Carcinogens, mutagens, reprotoxic (CMRs) materials",Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Chemical spills or leaks,Chemical spills or leaks,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Chemicals [Generic],Chemicals [Generic],Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Corrosive materials,Corrosive materials,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Crystalline silica,Crystalline silica,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Endocrine disrupters,Endocrine disrupters,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Explosive materials,Explosive materials,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Fibers other than asbestos,Fibers other than asbestos,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Flammable materials,Flammable materials,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Gas under pressure,Gas under pressure,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,"Health hazard, sensitizers, allergens materials","Health hazard, sensitizers, allergens materials",Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Improper labeling or storage,Improper labeling or storage,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Incompatible chemical reactions,Incompatible chemical reactions,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Lead Containing Material,Lead-containing material,Change,Hyphenation and casing must match current whitelist key exactly.,"Replace ""Lead Containing Material"" with ""Lead-containing material"""
Sub-Hazard,Chemical Hazards,Nanomaterials,Nanomaterials,Retain,Matches current whitelist exactly.,Retain
Sub-Hazard,Chemical Hazards,Oil,Oil,Retain,Matches current whitelist exactly.,Retain
